vlogId Extr Agr Cons Emot Open
VLOG366 4 3.58333333333333 4.75 4.5 4.08333333333333
VLOG367 3.8 5.1 4.8 4.8 4.5
VLOG368 3.76190476190476 4.19047619047619 3.69047619047619 2.69047619047619 4.45238095238095
VLOG369 6.4 5.2 4.3 4.7 6
VLOG370 5.8 5.2 4 5.1 5
VLOG371 6.2 4.6 4.6 4.4 5.8
VLOG372 4.5 3.8 4.7 3.7 4.6
VLOG373 3.5 4.9 5.5 3.6 3.5
VLOG375 4.4 5.8 4.7 5.7 3.7
VLOG376 5 3.9 3 3.6 3.7
VLOG378 5.5 5.16666666666667 5.25 5.33333333333333 5.25
VLOG379 3.6 4.8 4.3 4.7 4.8
VLOG380 5.5 3.1 3.5 2.5 4.5
VLOG382 4.6 5.2 4.8 4.9 4.6
VLOG384 5.6 4 4.6 4.5 5.9
VLOG385 5 5.9 6.2 5.5 4.9
VLOG386 6.1 6.4 4.3 6.1 5.7
VLOG387 3.6 5.1 5 4.2 4
VLOG388 3.8 3.7 4.2 5.1 5.1
VLOG389 4.7 4.6 4.2 5.1 4.3
VLOG391 3.7 4.6 4.5 4.7 4.4
VLOG393 4.6 4.5 4.8 4.9 5.1
VLOG394 4.3 3.9 4.5 5 4.4
VLOG395 2.9 3.3 4.7 4.8 3
VLOG396 4 5.4 4.6 5.6 4.8
VLOG397 4.6 5.1 5.1 5 5.4
VLOG398 4 5 3.4 4.2 4.7
VLOG399 5.3 5.5 3.8 5.1 4.7
VLOG400 2.1 4.3 4.4 3.5 3.7
VLOG401 5.4 5.1 3.6 5.6 3.5
VLOG402 5.8 5 4.1 5.2 5.6
VLOG403 5.8 4.3 5.8 5.7 5.7
VLOG404 5.8 5.1 4.6 4.9 4.3
VLOG405 3.8 4.6 3.2 4.7 3.7
VLOG407 2.91666666666667 5.5 5.5 4.16666666666667 4.66666666666667
VLOG408 5 5.4 2.9 3.9 6.3
VLOG409 6.2 4.9 3.9 4 5.5
VLOG410 5.4 4.7 4.3 5.3 5.6
VLOG411 4.6 4.9 4.8 3.8 5.1
VLOG412 5.8 2.8 4.8 3.2 4.5
VLOG413 4.2 5.2 4.7 4.8 3.6
VLOG415 3.1 4.7 5.8 5.4 4.7
VLOG416 3.9 5.5 4.6 5.2 4.2
VLOG417 3.9 5.2 5.3 4.6 4.5
VLOG418 4.83333333333333 5.25 5.08333333333333 5.16666666666667 4.41666666666667
VLOG421 4.9 3.5 3.3 3.8 2.8
VLOG422 3.8 4.9 4.8 4.9 4
VLOG423 4 5.4 2.9 5.6 3.8
VLOG424 6.5 2.9 4.7 2.9 5.6
VLOG425 4.4 5.1 4.6 4.8 5.1
VLOG426 3.7 5.3 5 5.8 4.1
VLOG427 4.7 5.8 4.4 4.7 4.8
VLOG428 3.5 2.9 3.7 3.7 3.7
VLOG430 3.7 4.9 3.8 4.4 4.5
VLOG431 3.2 5.1 4.2 4.3 3.9
VLOG432 3.1 5 4.8 4.4 4.6
VLOG434 4.3 2.6 4.4 3.9 3.5
VLOG435 4.8 4.9 4.8 5.5 5.3
VLOG436 4.9 5 5.2 4.9 4.4
VLOG437 3.8 2 3.9 2.8 2.4
VLOG440 4.6 4.9 4.2 4.8 4.7
VLOG442 5.5 4.9 4.1 5 5.2
